color-count,goods-title-link,selling_proposition,price,discount,rank-title,rank-sub,product_title
10.0,Manfinity Loose Fit Men's Cargo Shorts With Flap Pockets & Drawstring Waist,1.3k+ sold recently,,,,,Manfinity Loose Fit Men's Cargo Shorts With Flap Pockets & Drawstring Waist
12.0,Manfinity Sporsity Men's Summer Casual Color Block Patchwork Short Sleeve Polo Shirt,100+ sold recently,,,,,Manfinity Sporsity Men's Summer Casual Color Block Patchwork Short Sleeve Polo Shirt
6.0,Men's Drawstring Waistband Pocket Beach Shorts With Wavy Print,2.8k+ sold recently,,,,,Men's Drawstring Waistband Pocket Beach Shorts With Wavy Print
10.0,"Men's Corduroy Casual Shorts, Versatile Bermuda Shorts",300+ sold recently,,,,,"Men's Corduroy Casual Shorts, Versatile Bermuda Shorts"
29.0,Men Solid Round Neck Tee,6.0k+ sold recently,,,,,Men Solid Round Neck Tee
12.0,Manfinity Basics Men'S Solid Casual Short Sleeve T-Shirt,1.7k+ sold recently,,,,,Manfinity Basics Men'S Solid Casual Short Sleeve T-Shirt
13.0,Manfinity Homme Men Lapel Collar Button Front Shirt,2.9k+ sold recently,,,,,Manfinity Homme Men Lapel Collar Button Front Shirt
,Nearly There Japan Solo Cups Mens Graphic Cotton Tank Top,,,,,,Nearly There Japan Solo Cups Mens Graphic Cotton Tank Top
4.0,Manfinity LEGND Loose-Fitting Men's Letter Patch Detail Flap Pocket Drawstring Waist Cargo Shorts,2.5k+ sold recently,,,,,Manfinity LEGND Loose-Fitting Men's Letter Patch Detail Flap Pocket Drawstring Waist Cargo Shorts
,Men Fashion Loose Fit Color Block Design Casual Shorts,10+ sold recently,,,,,Men Fashion Loose Fit Color Block Design Casual Shorts
